Partector2 SN 8365
Firmware: rev 275
Hardware: rev 3.2
BLE firmware: rev 9
Calibration: 6.20, calibrated on 21.2.2023
Cal params 1: -2.95, 20.53, 3.85, 0.970, 0.00000682, 1.07, 60, 100
Cal params 2: -4.94, 42.87, 13.57, 0.933, 150, 360
Cal params 3: -19.14, 81.95, 31.46, 0.792, 300, 720
Start: 21.7.2023 06:33:00
statistics: 157869 LDSAmin, 9438 min, 283900 pulses
settings 1: 2.00 Idiff, 50 P, 100 D, 0.5 duty cycle, 2.0 pulse period, 1 zeroHV, 1 pulsing
settings 2: 1820 dp setpoint, 10 P, 500 I, 0.50 flow%
settings 3: 0 integration time, 1 adaptive DV, 4 multi DV, 1 multiDV on, 20 DV switchtime, 1 antispike, 90 RH shutdown, 80 RH autoheat, 1.00 RH corr, 0 RTCcal, 0.00 offs 1T, 0.00 offs 2T, 0.00 offs 4T, 3 ADCmedian, 0 SD, 0 heater, 989.0 dPcal_p, 293.6 dPcal_T, 988.0 cal_p, 296.6 cal_T, 123 compensation, 0 OEM
settings 4: 999999 alarmlevel, 0 USBtransmit, 0 bluetooth, 15 brightness, 127 contrast, 1 low power, 1 selftest, 360000 selftest interval, 0 autopower
environment: T 12.6...33.2, RH 13.0...81.9
gain	1516.0	1553.0
startup	1454.6	1490.5
ST: Ipump 16.8mA	Display 16.4V	CE -23.6V	+ 2.50V	- -2.50V

time	number	diam	LDSA	surface	mass	sigma	idiff	ucor	DV	T	RH	P	flow	bat	Ipump	error	PWMpump	steps	n10.00	n16.26	n26.43	n42.96	n69.83	n113.52	n184.55	n300.00	A1	A2	A3	A4	A5
3.0	  32019	 16	 25.1	 32.5	0.13	1.37	0.00	0	359	23.7	49	1012.2	0.500	4.10	16.84	0	54	100	30172	89410	32153	0	0	0	0	0	3.69697	1.06805	0.00000	0.00000	0.00000
7.0	  25021	 18	 24.1	 62.4	0.87	1.67	2.00	3549	360	23.7	44	1012.2	0.500	4.10	16.56	0	54	100	28311	56934	26659	0	3538	3127	0	0	3.92340	1.13347	1.13211	0.00000	0.00000
11.0	  18441	 20	 24.3	 98.7	3.53	1.79	2.01	3548	719	23.7	44	1012.3	0.500	4.10	16.88	0	54	100	17200	35600	25483	5744	0	2076	591	694	3.90404	1.12788	1.12653	0.60712	0.00000
15.0	  19747	 19	 25.4	109.5	4.25	1.77	2.00	3549	1200	23.8	44	1012.5	0.500	4.10	17.00	0	54	100	18789	38821	27378	5384	0	1751	528	926	4.10637	1.18633	1.18491	0.63859	0.01943
19.0	  18607	 22	 24.5	101.0	2.51	1.86	2.00	3551	99	23.8	45	1012.3	0.500	4.10	16.48	0	54	100	14743	31520	26059	11334	8	2536	1915	60	4.04956	2.08575	1.16852	0.62975	0.01916
23.0	  16033	 24	 24.7	102.1	2.99	1.89	2.00	3551	361	23.9	45	1012.4	0.500	4.10	17.00	0	54	100	11290	24323	21927	12537	2816	1549	1136	395	3.87030	1.99342	1.12852	0.60187	0.01831
27.0	  16522	 22	 22.6	 83.4	1.75	1.88	1.99	3545	719	23.8	45	1012.3	0.500	4.10	17.24	0	54	100	13107	27796	22140	9169	2280	2641	1162	0	3.62214	1.86560	1.05616	0.42240	0.01714
31.0	  13596	 26	 22.6	 97.2	3.18	1.90	2.01	3548	1200	23.8	46	1012.5	0.500	4.10	16.56	0	54	100	8093	17517	17434	12942	7454	262	0	727	3.66548	1.88793	1.06880	0.42745	0.09548
35.0	  17192	 23	 24.0	 95.5	2.73	1.86	2.00	3552	99	23.8	46	1012.4	0.500	4.10	16.88	0	54	100	13248	27948	22915	10629	4298	1297	709	420	3.84599	1.93671	1.12143	0.44850	0.10019
39.0	  17648	 22	 24.2	 99.0	2.67	1.88	1.99	3551	359	23.8	46	1012.3	0.500	4.10	16.96	0	54	100	14314	29978	23363	9128	3498	1864	1212	271	3.81717	1.92220	1.13641	0.44514	0.09944
43.0	  17750	 22	 24.3	 96.4	2.63	1.87	2.00	3549	719	23.9	46	1012.4	0.500	4.10	17.12	0	54	100	14053	29564	23439	9901	4261	1805	722	364	3.94059	1.98435	1.17315	0.43350	0.10265
47.0	  18773	 22	 25.1	 90.7	1.83	1.87	2.02	3551	1199	23.9	46	1012.5	0.500	4.10	16.72	0	54	100	15543	32691	24831	8695	2615	3571	1012	0	4.02812	2.02843	1.19921	0.44313	0.02951
51.0	  19427	 22	 25.9	 93.4	1.91	1.87	2.01	3551	100	23.8	46	1012.3	0.499	4.10	16.84	0	54	100	16236	34094	25719	8768	2679	3422	1143	0	4.16950	2.02012	1.24130	0.45869	0.03055
55.0	  17771	 23	 24.6	 94.7	1.82	1.94	1.99	3551	361	23.9	46	1012.3	0.500	4.10	17.20	0	54	100	14561	30432	22390	7201	4207	4765	656	1	4.15142	2.01136	1.40947	0.45670	0.03042
59.0	  14889	 26	 26.3	105.9	2.76	1.99	2.00	3549	718	23.8	46	1012.5	0.500	4.09	16.88	0	54	100	9633	20584	18286	11117	6960	3465	82	428	4.22435	2.04669	1.43423	0.53370	0.03095
63.0	  20569	 20	 26.3	 97.3	1.93	1.89	1.99	3551	1200	23.8	46	1012.4	0.500	4.10	17.20	0	54	100	19448	40123	26532	3367	666	6782	552	0	4.22230	2.04570	1.43354	0.53344	0.05132
67.0	  15465	 25	 25.7	106.5	2.93	1.98	1.99	3551	100	23.8	46	1012.1	0.500	4.11	16.92	0	54	100	10664	22615	19286	10524	6223	3427	50	494	4.15315	2.04372	1.41006	0.52470	0.05048
71.0	  18583	 22	 25.3	100.8	2.34	1.91	2.00	3545	361	23.9	46	1012.3	0.501	4.10	16.76	0	54	100	15391	32282	24418	8347	2580	3815	1122	105	4.11914	2.02698	1.30963	0.52041	0.05006
75.0	  17565	 23	 25.7	106.5	2.93	1.92	1.99	3547	720	23.8	46	1012.4	0.500	4.10	16.56	0	54	100	13481	28489	23118	10283	3625	3215	622	403	4.17673	2.05533	1.32795	0.56312	0.05076
79.0	  21731	 20	 26.1	 95.2	1.93	1.84	2.00	3547	1201	23.8	46	1012.4	0.500	4.10	16.76	0	54	100	21289	43986	28554	1978	0	6522	652	0	4.16110	2.04763	1.32298	0.56101	0.05021
83.0	  14541	 27	 25.5	109.5	3.28	1.96	2.00	3547	99	23.9	46	1012.4	0.500	4.10	16.80	0	54	100	8754	18897	18264	12850	7217	2276	0	647	4.11899	2.11385	1.30959	0.55534	0.04970
87.0	  20598	 20	 24.6	 94.2	1.95	1.87	2.01	3547	361	23.8	46	1012.3	0.500	4.10	16.80	0	54	100	19566	40600	26869	3181	0	7194	103	94	4.05379	2.08040	1.33938	0.54655	0.04892
91.0	  15929	 24	 25.0	 99.5	2.53	1.95	2.02	3552	719	23.9	46	1012.3	0.500	4.10	16.68	0	54	100	11736	24862	20499	9838	4425	3201	640	280	3.94687	2.02552	1.30406	0.52135	0.04763
95.0	  20770	 20	 25.5	 94.2	1.71	1.88	1.98	3548	1200	23.8	46	1012.4	0.500	4.10	16.52	0	54	100	19486	40690	26878	3337	0	7991	42	0	4.10256	2.10543	1.35550	0.54191	0.01928
99.0	  22481	 19	 24.9	 92.7	1.69	1.84	1.99	3548	100	23.8	46	1012.2	0.500	4.10	16.56	0	54	100	23006	47656	27682	0	0	8192	0	0	4.08443	2.11219	1.34951	0.53952	0.01919
103.0	  21965	 19	 24.7	 88.9	1.60	1.83	1.98	3545	360	23.8	46	1012.3	0.500	4.10	16.56	0	54	100	22065	45856	28415	0	0	7754	0	0	4.00430	2.07075	1.25620	0.52893	0.01882
107.0	  19983	 20	 23.8	 89.6	1.75	1.86	1.98	3548	720	23.9	46	1012.5	0.500	4.09	16.48	0	54	100	18904	39501	26408	2936	0	6505	442	0	3.86121	1.99675	1.21131	0.54096	0.01814
111.0	  17400	 22	 23.8	 91.7	2.09	1.89	2.02	3552	1200	23.8	46	1012.5	0.500	4.10	16.48	0	54	100	13756	29117	23197	9538	2286	3746	665	149	3.84682	1.98931	1.20679	0.53894	0.04811
115.0	  12969	 28	 22.6	102.4	3.05	1.96	1.99	3547	100	23.9	47	1012.6	0.499	4.10	16.88	0	54	100	7093	15541	16129	12796	7431	1862	0	605	3.82235	2.05948	1.19911	0.53551	0.04780
119.0	  13773	 26	 23.1	104.5	3.15	1.97	2.00	3547	362	23.8	47	1012.4	0.497	4.10	17.12	0	54	100	8520	18377	17397	11735	6248	2221	176	589	3.80116	2.04806	1.25205	0.53254	0.04754
123.0	  15333	 24	 24.4	 97.4	2.48	1.95	1.98	3548	720	23.8	47	1012.3	0.500	4.10	17.20	0	54	100	11015	23438	19802	10100	4291	3122	610	279	3.80164	2.04832	1.25221	0.50780	0.04755
127.0	  13310	 27	 23.5	108.6	3.56	1.97	1.99	3548	1200	23.8	46	1012.4	0.500	4.10	16.76	0	54	100	7860	16924	16603	12068	7303	1538	6	767	3.78865	2.04132	1.24793	0.50607	0.10818
131.0	  16567	 22	 24.3	102.1	3.13	1.91	2.02	3551	99	23.8	46	1012.4	0.500	4.10	16.52	0	54	100	13616	28418	21678	7776	3273	2697	524	523	3.82729	1.83600	1.26066	0.51123	0.10928
135.0	  20239	 20	 23.3	 89.8	2.07	1.81	1.99	3545	361	23.8	46	1012.3	0.500	4.10	16.64	0	54	100	19471	40103	27263	4067	0	3500	1502	0	3.81727	1.83120	1.13525	0.50989	0.10899
139.0	  14638	 25	 23.6	102.6	3.51	1.91	2.05	3545	719	23.8	46	1012.3	0.500	4.10	16.48	0	54	100	9694	20662	18962	12031	6624	577	2	811	3.81119	1.82828	1.13344	0.45201	0.10882
143.0	  15613	 24	 23.5	 98.0	3.16	1.89	2.01	3544	1200	23.8	47	1012.3	0.500	4.10	16.72	0	54	100	11308	24002	20542	10957	5219	1113	177	666	3.76191	1.80464	1.11878	0.44616	0.08048
147.0	  19556	 20	 24.2	 80.9	1.61	1.81	1.97	3547	99	23.8	46	1012.5	0.500	4.10	16.72	0	54	100	18497	38262	25947	4308	432	4540	687	0	3.69503	1.83882	1.09889	0.43823	0.07905
151.0	  14566	 23	 22.8	 91.1	2.26	1.98	2.06	3548	360	23.8	47	1012.6	0.499	4.10	16.72	0	54	100	11430	23817	18049	6777	4734	3600	358	257	3.60969	1.79635	1.28677	0.42811	0.07722
155.0	  18910	 20	 22.7	 85.9	1.55	1.90	2.03	3548	718	23.8	47	1012.3	0.500	4.09	16.52	0	54	100	18918	38485	23170	0	1895	7144	0	0	3.75485	1.86859	1.33851	0.43889	0.08033
159.0	  20649	 18	 23.0	 80.7	1.50	1.84	2.01	3549	1199	23.8	47	1012.4	0.500	4.10	16.24	0	54	100	25027	49826	15615	0	0	7386	0	0	3.52650	1.75495	1.25711	0.41220	0.05518
163.0	  12457	 28	 23.4	 94.6	2.26	2.01	2.02	3547	100	23.9	47	1012.6	0.500	4.10	16.64	0	54	100	7159	15415	14591	10424	7867	3262	0	312	3.75883	2.01066	1.33993	0.43936	0.05882
167.0	  12200	 29	 24.0	 95.4	2.26	2.02	2.00	3545	361	23.8	47	1012.4	0.498	4.09	17.16	0	54	100	6818	14747	14115	10372	8062	3389	9	299	3.76156	2.01212	1.35660	0.43968	0.05886
171.0	  16418	 21	 21.6	 89.6	1.95	1.94	2.00	3545	719	23.8	47	1012.4	0.501	4.10	16.60	0	54	100	14977	31095	21147	3547	294	6110	586	43	3.54223	1.89479	1.27750	0.52146	0.05543
175.0	  13158	 27	 22.7	107.8	3.13	2.02	1.99	3547	1201	23.8	47	1012.4	0.500	4.10	16.28	0	54	100	7951	17079	15964	10760	6737	3293	3	564	3.87448	2.07252	1.39733	0.57037	0.05817
179.0	  17728	 21	 23.1	 92.2	1.77	1.94	1.98	3544	99	23.8	46	1012.5	0.501	4.10	16.52	0	54	100	16260	33903	22630	3194	0	7864	158	0	3.74878	2.12370	1.35199	0.55186	0.05629
183.0	  15544	 24	 23.4	 93.9	2.06	1.95	2.01	3547	360	23.8	47	1012.5	0.500	4.09	16.68	0	54	98	11564	24645	20483	9698	2565	3353	1350	0	3.72527	2.11038	1.23544	0.54840	0.05593
187.0	  17476	 22	 23.1	 91.6	1.80	1.93	2.06	3547	719	23.8	46	1012.5	0.500	4.09	16.24	0	54	100	14668	30775	22533	6745	2182	5274	637	0	3.78488	2.14415	1.25521	0.47922	0.05683
191.0	  15060	 25	 23.1	 96.8	2.43	1.95	2.02	3547	1200	23.8	47	1012.5	0.500	4.10	16.36	0	54	100	10415	22182	19202	10635	5376	2689	589	279	3.77634	2.13931	1.25238	0.47814	0.07186
195.0	  14461	 25	 22.6	100.3	2.92	1.95	2.02	3547	99	23.8	46	1012.4	0.499	4.10	16.60	0	54	100	9846	21012	18444	10591	5565	2224	345	497	3.71185	2.05824	1.23099	0.46997	0.07063
199.0	  15025	 25	 22.7	 89.7	1.63	1.99	2.02	3547	360	23.8	47	1012.4	0.500	4.10	16.68	0	54	100	10804	22866	18263	8517	5986	4373	378	14	3.80271	2.10862	1.39185	0.48148	0.07236
203.0	  14546	 26	 24.0	109.0	2.99	2.02	2.00	3544	719	23.8	47	1012.5	0.500	4.09	16.28	0	54	100	9773	20722	17733	9857	6379	3893	94	477	3.98144	2.20772	1.45727	0.53131	0.07576
207.0	  15917	 24	 24.4	 98.0	2.00	2.00	2.01	3545	1201	23.8	47	1012.5	0.500	4.10	16.64	0	54	100	12435	26046	19777	7291	4166	4835	876	0	3.91688	2.17193	1.43364	0.52269	0.07414
211.0	  14555	 25	 23.6	104.7	2.70	2.02	1.98	3547	100	23.8	47	1012.6	0.500	4.10	16.32	0	54	100	10154	21490	17857	9117	5667	3987	360	340	3.87334	2.15710	1.41770	0.51688	0.07331
215.0	  16232	 24	 24.7	103.8	3.04	1.90	1.98	3545	360	23.8	47	1012.5	0.499	4.10	16.48	0	54	100	11058	23759	21666	13036	4707	1529	667	494	3.91488	2.18024	1.16138	0.52243	0.07410
219.0	  18781	 21	 23.1	 82.5	1.61	1.84	2.04	3547	718	23.8	47	1012.4	0.500	4.10	16.32	0	54	100	16613	34957	25300	6490	2	5171	444	23	3.64161	2.02805	1.08032	0.48351	0.06893
223.0	  13786	 25	 22.1	 93.0	2.79	1.91	2.01	3547	1200	23.7	47	1012.5	0.500	4.10	16.72	0	54	100	8851	19198	18185	12014	5031	1061	493	493	3.44716	1.91976	1.02263	0.45769	0.04846
227.0	  15461	 25	 23.9	102.1	2.94	1.91	1.97	3545	100	23.7	47	1012.4	0.500	4.10	16.40	0	54	100	9885	21402	20436	13622	5619	1138	696	469	3.88764	2.16656	1.15330	0.51618	0.05465
231.0	  17204	 22	 23.7	 92.5	2.02	1.91	2.04	3547	360	23.7	47	1012.4	0.500	4.10	16.36	0	54	100	13947	29481	22855	8518	1678	3926	1093	28	3.75750	2.09403	1.19875	0.49890	0.05282
235.0	  15095	 24	 24.0	100.2	2.76	1.94	2.00	3545	718	23.8	47	1012.4	0.500	4.10	16.00	0	54	100	10571	22669	20054	11164	3371	2426	950	326	3.71027	2.06771	1.18368	0.55883	0.05216
239.0	  15413	 23	 22.9	109.3	3.99	1.90	1.98	3545	1200	23.7	47	1012.4	0.500	4.10	17.76	0	55	100	12051	25273	20743	9389	2948	1163	655	815	3.50640	1.95409	1.11864	0.52812	0.18473
243.0	  16154	 21	 23.7	114.5	4.97	1.84	2.01	3548	99	23.7	47	1012.4	0.500	4.10	18.24	0	56	100	14391	29715	21969	6508	1866	682	165	1250	3.58838	1.38351	1.14479	0.54047	0.18905
247.0	  22688	 18	 24.5	114.2	4.31	1.74	1.99	3547	360	23.7	47	1012.3	0.501	4.09	17.60	0	55	85	24769	49773	28833	0	0	2457	833	849	3.98616	1.53687	1.29285	0.60038	0.21000
251.0	  16078	 20	 22.7	 93.9	3.55	1.83	1.97	3544	718	23.7	47	1012.4	0.499	4.10	18.08	0	55	100	15367	31269	21114	3559	2354	1474	262	790	3.34126	1.28823	1.08369	0.40309	0.17603
